timestamp,symbol,side,entry_price,exit_price,pnl_usdt,pnl_pct,exit_reason
2026-08-15T19:01:43.765159,APR_USDT,SHORT,0.1822,0.1696,12.010505526822456,6.28873747530186,TRAIL_SL
2026-08-15T18:32:45.455371,HEMI_USDT,LONG,0.006474,0.006472,-0.16941145353819093,-0.11088044485635021,BE_SL
2026-08-15T18:12:27.530720,COW_USDT,LONG,0.1469,0.1462,1.7998292299628258,1.3488223880190533,BE_SL
2026-08-15T17:17:42.391428,MOVR_USDT,SHORT,0.847,0.881,-6.6880304799545085,-4.095773317591496,SL
2026-08-15T17:17:31.564637,APR_USDT,SHORT,0.1994,0.2084,-4.148902329024664,-4.595346038114341,SL
2026-08-15T17:05:58.576035,MOVR_USDT,SHORT,0.884,0.856,3.891299330101874,4.788915113122185,TRAIL_SL
2026-08-15T16:05:05.874101,COW_USDT,LONG,0.1611,0.1545,-3.3831393749892222,-4.175195530726242,SL
2026-08-15T15:29:50.991918,APR_USDT,SHORT,0.1967,0.2046,-4.09936653924031,-4.09787493645144,SL
2026-08-15T14:32:36.417410,ROBO_USDT,LONG,0.01862,0.01862,-0.0800355223793458,-0.07999999999999999,BE_SL
2026-08-15T13:19:35.123797,TAG_USDT,SHORT,0.000977,0.00098,-0.5427752273678546,-0.38718526100305084,TRAIL_SL
2026-08-15T12:43:55.952601,COW_USDT,LONG,0.1523,0.152,-0.3338289120258197,-0.27690085357845157,BE_SL
2026-08-15T12:35:38.573025,TAG_USDT,SHORT,0.000946,0.000986,-7.305885005316678,-4.31002114164904,SL
2026-08-15T12:32:42.990461,COW_USDT,LONG,0.1476,0.1474,-0.3477920405002415,-0.21544715447154492,BE_SL
2026-08-15T12:31:45.370546,TAG_USDT,SHORT,0.000958,0.000957,0.049287777748841605,0.024425887265137638,BE_SL
2026-08-15T12:30:13.497640,TAG_USDT,SHORT,0.000978,0.000955,8.925023149284266,4.462511574642133,TRAIL_SL
2026-08-15T11:56:45.185886,APR_USDT,SHORT,0.1837,0.1912,-8.23859690516812,-4.16437670114317,SL
2026-08-15T11:35:32.735709,BEAT_USDT,SHORT,0.526,0.498,11.120755323531538,5.6515692775665505,TRAIL_SL
2026-08-15T11:24:14.663719,JCT_USDT,SHORT,0.002195,0.002286,-4.651483794314086,-4.227444191343967,SL
